za_code,za_label,source_file,source_line,generated_by_source
170,Non-communicable,Analysis to ZA codes.do,376,True
171,Injuries,Analysis to ZA codes.do,377,True
172,Total,Analysis to ZA codes.do,378,True
173,Inf/para,Analysis to ZA codes.do,380,True
174,Other Type 1,Analysis to ZA codes.do,381,True
175,HIV/AIDS and TB,Analysis to ZA codes.do,382,True
176,Cancers,Analysis to ZA codes.do,383,True
177,Diabetes,Analysis to ZA codes.do,384,True
178,Cardiovascular,Analysis to ZA codes.do,385,True
179,Other Type 2,Analysis to ZA codes.do,386,True
180,Unintentional injuries,Analysis to ZA codes.do,387,True
181,Intentional injuries,Analysis to ZA codes.do,388,True
300,Other (non top 10),Analysis to ZA codes.do,390,False
